Lot,Group,Make,Type,Abundance
Bobcat,1,Acura,Sedan,1
Bobcat,1,Audi,SUV,1
Bobcat,1,Buick,Sedan,1
Bobcat,1,Chevrolet,Sedan,4
Bobcat,1,Chevrolet,SUV,2
Bobcat,1,Chevrolet,Truck,5
Bobcat,1,Chrysler,Sedan,1
Bobcat,1,Dodge,SUV,1
Bobcat,1,Dodge,Sedan,1
Bobcat,1,Ford,Truck,4
Bobcat,1,Ford,SUV,5
Bobcat,1,Ford,Sedan,3
Bobcat,1,GMC,Truck,5
Bobcat,1,Honda,SUV,5
Bobcat,1,Honda,Sedan,1
Bobcat,1,Hyundai,Sedan,2
Bobcat,1,Jeep,SUV,1
Bobcat,1,Kia,SUV,1
Bobcat,1,Kia,Sedan,1
Bobcat,1,Lexus,Sedan,1
Bobcat,1,Lexus,SUV,1
Bobcat,1,Mazda,Sedan,1
Bobcat,1,Mazda,SUV,1
Bobcat,1,Mercedes,SUV,1
Bobcat,1,Nissan,SUV,3
Bobcat,1,Pontiac,Sedan,1
Bobcat,1,Subaru,Sedan,2
Bobcat,1,Subaru,SUV,25
Bobcat,1,Toyota,SUV,5
Bobcat,1,Toyota,Sedan,8
Bobcat,1,Toyota,Truck,8
Bobcat,1,Tesla,Sedan,1
Bobcat,1,VW,Sedan,1
Elk,2,BMW,SUV,1
Elk,2,Chevrolet,SUV,1
Elk,2,Ford,Sedan,1
Elk,2,GMC,Truck,2
Elk,2,Honda,SUV,4
Elk,2,Jeep,SUV,5
Elk,2,Kia,SUV,1
Elk,2,Mercedes,SUV,1
Elk,2,Dodge,Truck,1
Elk,2,Subaru,SUV,0
Elk,2,Toyota,Truck,11
Elk,2,Toyota,SUV,0
Elk,2,Toyota,Sedan,1
Elk,2,Volvo,SUV,1
Wolf,3,Audi,SUV,1
Wolf,3,Chevrolet,Truck,5
Wolf,3,Chevrolet,SUV,1
Wolf,3,Ford,SUV,3
Wolf,3,Ford,Truck,2
Wolf,3,GMC,Truck,1
Wolf,3,Honda,SUV,1
Wolf,3,Hyundai,SUV,3
Wolf,3,Jeep,SUV,2
Wolf,3,Kia,SUV,1
Wolf,3,Nissan,Sedan,1
Wolf,3,Nissan,SUV,1
Wolf,3,Subaru,SUV,5
Wolf,3,Toyota,SUV,4
Wolf,3,Toyota,Sedan,1
Wolf,3,VW,SUV,1
Elk,4,Toyota,SUV,6
Elk,4,Ford ,SUV,2
Elk,4,Dodge,Truck,2
Elk,4,Ford,Truck,3
Elk,4,Honda,SUV,3
Elk,4,Subaru,SUV,8
Elk,4,Chevrolet,SUV,2
Elk,4,Honda,Sedan,2
Elk,4,Toyota,Truck,2
Elk,4,Chevrolet,Truck,4
Elk,4,Jeep,SUV,1
Elk,4,Ford,SUV,1
Elk,4,VW,Sedan,1
Elk,4,Mazda,SUV,1
Elk,4,Dodge,SUV,1
Elk,4,GMC,SUV,1
Elk,4,Toyota,SUV,1
Bison,5,Ford,Truck,3
Bison,5,Toyota,Truck,2
Bison,5,Chevrolet,Truck,6
Bison,5,Honda,Sedan,2
Bison,5,Subaru,Sedan,12
Bison,5,VW,Sedan,1
Bison,5,Dodge,Truck,2
Bison,5,Toyota,SUV,6
Bison,5,Toyota,Sedan,4
Bison,5,Chevrolet,SUV,3
Bison,5,Ford,SUV,5
Bison,5,Jeep,Sedan,3
Bison,5,Nissan,Sedan,2
Bison,5,Nissan,SUV,1
Bison,5,Kia,SUV,1
Bison,5,Honda,SUV,4
Bison,5,Nissan,SUV,1
Bison,5,Jeep,SUV,1
Bison,5,VW,SUV,1
Bison,5,Audi,SUV,1
Bison,5,GMC,Truck,1
Bobcat,6,GMC,Truck,1
Bobcat,6,Toyota,SUV,2
Bobcat,6,Subaru,SUV,6
Bobcat,6,Lexus,SUV,1
Bobcat,6,Dodge,SUV,3
Bobcat,6,VW,SUV,2
Bobcat,6,Freightliner,SUV,1
Bobcat,6,Jeep,SUV,2
Bobcat,6,Toyota,Truck,2
Bobcat,6,Chevrolet,SUV,5
Bobcat,6,Ford,Truck,2
Bobcat,6,Ford,SUV,2
Bobcat,6,GMC,SUV,1
Bobcat,6,Mazda,SUV,2
Bobcat,6,Chevrolet,Truck,1
Bobcat,6,Dodge,SUV,2
Bobcat,6,Chrysler,Sedan,1
Bobcat,6,Toyota,Sedan,1
Bobcat,6,Chevrolet,Sedan,2
Bobcat,6,GMC,SUV,1
Bobcat,7,Tesla,Sedan,3
Bobcat,7,Toyota,SUV,3
Bobcat,7,Subaru,SUV,4
Bobcat,7,Ford,Truck,5
Bobcat,7,Toyota,Truck,3
Bobcat,7,Chevrolet,SUV,2
Bobcat,7,Honda,SUV,2
Bobcat,7,Toyota,Sedan,2
Bobcat,7,Nissan,Truck,0
Bobcat,8,Infiniti,Sedan,1
Bobcat,8,Honda,Sedan,2
Bobcat,8,Nissan,SUV,4
Bobcat,8,Ford,Truck,6
Bobcat,8,Subaru,SUV,38
Bobcat,8,Jeep,SUV,5
Bobcat,8,Toyota,Sedan,11
Bobcat,8,Chevrolet,SUV,7
Bobcat,8,GMC,Truck,3
Bobcat,8,Toyota,Truck,3
Bobcat,8,Toyota,SUV,19
Bobcat,8,Lexus,Sedan,1
Bobcat,8,Tesla,Sedan,1
Bobcat,8,GMC,SUV,1
Bobcat,8,Dodge,SUV,2
Bobcat,8,Ford,Sedan,6
Bobcat,8,Chevrolet,Sedan,3
Bobcat,8,Honda,SUV,8
Bobcat,8,Ford,SUV,7
Bobcat,8,GMC,Truck,3
Bobcat,8,Chevrolet,Truck,8
Bobcat,8,Kia,SUV,1
Bobcat,8,VW ,Sedan,2
Bobcat,8,Dodge,Truck,1
Bobcat,8,Volvo,Sedan,1
Bobcat,8,Nissan,Truck,1
Bobcat,8,Nissan,Sedan,1
Bobcat,8,Subaru,Sedan,2
Bobcat,8,Chevrolet,Sedan,5
Bobcat,8,Dodge,SUV,1
Bobcat,8,Mazda,SUV,3
Bobcat,8,BMW,SUV,1
Bobcat,8,Buick,Sedan,1
Bobcat,8,Audi,SUV,1
Bobcat,8,Dodge,Sedan,1
Bobcat,8,Mercedes,SUV,1
Bobcat,8,Chrysler,Sedan,2
Bobcat,8,Lexus,SUV,1
Bobcat,8,Kia,Sedan,1
Bobcat,8,Acura,Sedan,1
